date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:43	4311/4311	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Jun%202015%2005:42:17%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/logo.png	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/logo.png	(from http://www.xpertpoin8.com/demo/restaurant/)
16:14:37	324651/324651	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:21%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/slider/3.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/slider/3.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:14:38	2493/2493	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Jun%202015%2005:42:15%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/hot-deals.png	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/hot-deals.png	(from http://www.xpertpoin8.com/demo/restaurant/)
16:14:47	391242/391242	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:06%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/slider/2.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/slider/2.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:14:58	458740/458740	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:42:44%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/1.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/1.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:14:59	1842/1842	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Jun%202015%2005:42:11%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/featured.png	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/featured.png	(from http://www.xpertpoin8.com/demo/restaurant/)
16:15:04	539700/539700	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:07%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/slider/1.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/slider/1.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:15:48	378800/378800	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:00%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/3.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/3.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:15:56	316859/316859	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:13%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/5.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/5.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:11	580757/580757	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:42:50%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/2.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/2.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:25	171178/171178	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:22%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/1.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/1.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:31	570863/570863	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:14%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/4.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/4.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:33	131919/131919	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:28%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/2.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/2.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
